"id","name"
"01","Acadia"
"02","Allen"
"03","Ascension"
"04","Assumption"
"05","Avoyelles"
"06","Beauregard"
"07","Bienville"
"08","Bossier"
"09","Caddo"
"10","Calcasieu"
"11","Caldwell"
"12","Cameron"
"13","Catahoula"
"14","Claiborne"
"15","Concordia"
"16","De Soto"
"17","East Baton Rouge"
"18","East Carroll"
"19","East Feliciana"
"20","Evangeline"
"21","Franklin"
"22","Grant"
"23","Iberia"
"24","Iberville"
"25","Jackson"
"26","Jefferson"
"27","Jefferson Davis"
"28","Lafayette"
"29","Lafourche"
"30","Lasalle"
"31","Lincoln"
"32","Livingston"
"33","Madison"
"34","Morehouse"
"35","Natchitoches"
"36","Orleans"
"37","Ouachita"
"38","Plaquemines"
"39","Pointe Coupee"
"40","Rapides"
"41","Red River"
"42","Richland"
"43","Sabine"
"44","St. Bernard"
"45","St. Charles"
"46","St. Helena"
"47","St. James"
"48","St. John The Baptist"
"49","St. Landry"
"50","St. Martin"
"51","St. Mary"
"52","St. Tammany"
"53","Tangipahoa"
"54","Tensas"
"55","Terrebonne"
"56","Union"
"57","Vermilion"
"58","Vernon"
"59","Washington"
"60","Webster"
"61","West Baton Rouge"
"62","West Carroll"
"63","West Feliciana"
"64","Winn"
